EPISODE,STEP,A_0,A_1,X_0,X_1,X_2,X_3
0,1,1.0,0.0,0.0048813503927324,0.0215189366372419,0.0102763376071643,0.0044883182996896
0,2,0.0,1.0,0.0053117291254773,-0.1737488729322421,0.0103661039731581,0.3003957572046986
0,3,0.0,1.0,0.0018367516668324,0.0212238034718099,0.0163740191172521,0.0110000356994087
0,4,1.0,0.0,0.0022612277362686,0.2161071483782123,0.0165940198312403,-0.2764720486117858
0,5,0.0,1.0,0.0065833707038329,0.020752431440017,0.0110645788590046,0.0213981007813401
0,6,0.0,1.0,0.0069984193326332,0.2157139719213864,0.0114925408746314,-0.267773389201707
0,7,0.0,1.0,0.0113126987710609,0.4106700377002687,0.0061370730905972,-0.5568094433149846
0,8,0.0,1.0,0.0195260995250663,0.6057052953327207,-0.0049991157757024,-0.8475525323112675
0,9,0.0,1.0,0.0316402054317207,0.8008950795794074,-0.0219501664219277,-1.1418032840910977
0,10,0.0,1.0,0.0476581070233089,0.996296922994567,-0.0447862321037497,-1.4412882728817076
0,11,0.0,1.0,0.0675840454832002,1.1919408855403302,-0.0736119975613838,-1.747622698817518
0,12,1.0,0.0,0.0914228631940068,1.3878180642606122,-0.1085644515377342,-2.0622651599995763
0,13,1.0,0.0,0.1191792244792191,1.1939578397383133,-0.1498097547377257,-1.8050420900331725
0,14,0.0,1.0,0.1430583812739853,1.000792799026868,-0.1859105965383892,-1.562419355541506
1,1,1.0,0.0,-0.0076345200661095,0.0145894113066656,-0.0062412788737307,0.0391773000782079
1,2,1.0,0.0,-0.0073427318399762,-0.1804424866259299,-0.0054577328721665,0.3298845250292364
1,3,1.0,0.0,-0.0109515815724948,-0.3754863218668743,0.0011399576284181,0.6208413550970838
1,4,1.0,0.0,-0.0184613080098323,-0.5706241745051537,0.0135567847303598,0.9138830913379644
1,5,1.0,0.0,-0.0298737914999353,-0.7659268539157154,0.0318344465571191,1.210795763007805
1,6,0.0,1.0,-0.0451923285782496,-0.961445031667634,0.0560503618172752,1.5132821804316254
1,7,1.0,0.0,-0.0644212292116023,-0.7670447229668733,0.0863160054259077,1.2386098290670748
1,8,0.0,1.0,-0.0797621236709398,-0.9631627511925216,0.1110882020072492,1.5570370813100778
1,9,0.0,1.0,-0.0990253786947902,-0.769532807092437,0.1422289436334507,1.3009752525664564
1,10,1.0,0.0,-0.114416034836639,-0.5764730052028499,0.1682484486847799,1.055984152038741
1,11,1.0,0.0,-0.125945494940696,-0.7733764215315806,0.1893681317255547,1.3964007417477646
2,1,0.0,1.0,0.0463662760501029,-0.0116558481174222,0.0291725038082664,0.0028894919752904
2,2,0.0,1.0,0.0461331590877544,0.1830358440930852,0.0292302936477722,-0.2804482884159698
2,3,0.0,1.0,0.0497938759696161,0.3777289031558645,0.0236213278794528,-0.5637706424842446
2,4,0.0,1.0,0.0573484540327334,0.5725115890207496,0.0123459150297679,-0.848919138721032
2,5,1.0,0.0,0.0687986858131484,0.7674630056249193,-0.0046324677446526,-1.137694370990586
2,6,0.0,1.0,0.0841479459256468,0.5724019463473096,-0.0273863551644643,-0.8464678621865785
2,7,1.0,0.0,0.095595984852593,0.7678865947643015,-0.0443157124081959,-1.1476354617355125
2,8,0.0,1.0,0.110953716747879,0.5733703728239073,-0.0672684216429062,-0.8691721425283845
2,9,1.0,0.0,0.1224211242043572,0.7693398144667846,-0.0846518644934739,-1.1822234826069276
2,10,0.0,1.0,0.1378079204936929,0.5754122537526429,-0.1082963341456124,-0.9172317088889574
2,11,0.0,1.0,0.1493161655687457,0.7718186136023717,-0.1266409683233915,-1.241892255325383
2,12,1.0,0.0,0.1647525378407932,0.968318016409054,-0.1514788134298992,-1.57141393583974
2,13,0.0,1.0,0.1841188981689743,0.7752934872924939,-0.182907092146694,-1.3295572782166358
3,1,0.0,1.0,0.0068044561093932,0.0425596638292661,-0.0428963941802113,-0.0412870700298459
3,2,1.0,0.0,0.0076556493859785,0.2382696518648197,-0.0437221355808082,-0.3471896714370461
3,3,1.0,0.0,0.0124210424232749,0.0437959858125724,-0.0506659290095491,-0.0686081613224321
3,4,0.0,1.0,0.0132969621395263,-0.1505643414388571,-0.0520380922359977,0.2076688011315653
3,5,1.0,0.0,0.0102856753107492,0.045261610458304,-0.0478847162133664,-0.1009647944837462
3,6,0.0,1.0,0.0111909075199153,-0.1491425376515232,-0.0499040121030414,0.1762344457631235
3,7,0.0,1.0,0.0082080567668848,0.0466567610067457,-0.0463793231877789,-0.1317645531800843
3,8,0.0,1.0,0.0091411919870197,0.2424113324811292,-0.0490146142513806,-0.4387112929383887
3,9,0.0,1.0,0.0139894186366423,0.4381915115400597,-0.0577888401101484,-0.7464333979817136
3,10,0.0,1.0,0.0227532488674435,0.6340611914329736,-0.0727175080697826,-1.05672793100998
3,11,1.0,0.0,0.035434472696103,0.8300674900707152,-0.0938520666899822,-1.3713204955322575
3,12,0.0,1.0,0.0520358224975173,0.6362362501165886,-0.1212784766006274,-1.109405194417164
3,13,1.0,0.0,0.0647605474998491,0.832724805472095,-0.1434665804889707,-1.4375416777203494
3,14,0.0,1.0,0.081415043609291,0.6396328192125192,-0.1722174140433777,-1.1929139793917458
3,15,0.0,1.0,0.0942076999935414,0.8365150999667448,-0.1960756936312126,-1.534250749267137
4,1,0.0,1.0,-0.0479781602559674,0.0332619845547938,0.027815675094985,0.0370012148246819
4,2,0.0,1.0,-0.0473129205648715,0.2279742407556088,0.0285556993914786,-0.2467774344122347
4,3,1.0,0.0,-0.0427534357497593,0.4226769665493615,0.0236201507032339,-0.5303182219610985
4,4,0.0,1.0,-0.0342998964187721,0.2272308512019015,0.013013786264012,-0.2302871477621035
4,5,1.0,0.0,-0.0297552793947341,0.4221644445516272,0.0084080433087699,-0.5188368327042978
4,6,1.0,0.0,-0.0213119905037015,0.2269251334283027,-0.001968693345316,-0.2235162822119286
4,7,0.0,1.0,-0.0167734878351355,0.0318313754503009,-0.0064390189895545,0.0685449921841278
4,8,0.0,1.0,-0.0161368603261295,0.2270450473402929,-0.005068119145872,-0.2261625038628668
4,9,1.0,0.0,-0.0115959593793236,0.4222390617981786,-0.0095913692231293,-0.5204397859174252
4,10,0.0,1.0,-0.00315117814336,0.2272534343861817,-0.0200001649414778,-0.2307946171968758
4,11,1.0,0.0,0.0013938905443635,0.4226553830637848,-0.0246160572854153,-0.5297185771067705
4,12,0.0,1.0,0.0098469982056392,0.2278882151847557,-0.0352104288275507,-0.2448927252079228
4,13,1.0,0.0,0.0144047625093343,0.423494921325183,-0.0401082833317092,-0.5484706492952649
4,14,1.0,0.0,0.022874660935838,0.2289586831266369,-0.0510776963176145,-0.2686896436499864
4,15,1.0,0.0,0.0274538345983707,0.0346014614330102,-0.0564514891906142,0.0074556592019656
4,16,1.0,0.0,0.0281458638270309,-0.159667363600456,-0.0563023760065749,0.2818067781784382
4,17,1.0,0.0,0.0249525165550218,-0.3539429073248998,-0.0506662404430062,0.5562141772448244
4,18,0.0,1.0,0.0178736584085238,-0.548318280262168,-0.0395419568981097,0.8325135832240802
4,19,0.0,1.0,0.0069072928032805,-0.3526789316525018,-0.0228916852336281,0.5276616456779537
4,20,1.0,0.0,-0.0001462858297695,-0.1572425049361399,-0.012338452320069,0.2278542453783472
4,21,1.0,0.0,-0.0032911359284923,-0.3521859761661646,-0.007781367412502,0.5166197812970529
4,22,1.0,0.0,-0.0103348554518156,-0.5471974978614881,0.0025510282134389,0.8068405090384312
4,23,0.0,1.0,-0.0212788054090453,-0.7423543212798129,0.0186878383942075,1.1003247931245923
4,24,0.0,1.0,-0.0361258918346416,-0.5474832252238533,0.0406943342566994,0.8135630941523205
4,25,1.0,0.0,-0.0470755563391187,-0.3529415355966372,0.0569655961397458,0.5339529837413635
4,26,0.0,1.0,-0.0541343870510514,-0.5488163948461551,0.0676446558145731,0.844027508152204
4,27,1.0,0.0,-0.0651107149479745,-0.3546795333894428,0.0845252059776171,0.5733605758521958
4,28,1.0,0.0,-0.0722043056157634,-0.550878534463363,0.095992417494661,0.8914292243353504
4,29,0.0,1.0,-0.0832218763050306,-0.7471624752900521,0.1138210019813681,1.212678125509755
4,30,1.0,0.0,-0.0981651258108317,-0.5536784940807304,0.1380745644915632,0.9577212628199931
